symbol,bid_size,bid,ask,ask_size,lastPrice,close,change,open,high,low,previous_close,turnover,volume,operations,datetime,underlying_asset,expiration,option_type,strike,date
ALUC1000DI,0,0.0,15.0,10,7.5,7.098,-0.017,5.34,7.5,4.64,7.63,27563.0,46,12,16:51:00,ALUA,2024-12-20,C,1000.0,2024-11-11
ALUC1050DI,0,0.0,0.0,0,3.5,3.5,0.3893999999999999,3.0,3.5,3.0,2.519,6500.0,20,3,16:59:00,ALUA,2024-12-20,C,1050.0,2024-11-11
ALUC1100DI,0,0.0,0.0,0,2.5,2.769,-0.551,2.0,3.0,2.0,5.568,352455.0,1653,14,16:52:00,ALUA,2024-12-20,C,1100.0,2024-11-11
ALUC1500DI,0,0.0,90.0,14,0.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,0,0,,ALUA,2024-12-20,C,1500.0,2024-11-11
ALUC550.DI,0,0.0,0.0,0,290.0,290.0,0.1110999999999999,289.93,290.0,278.89,261.0,18901968.0,668,106,16:58:00,ALUA,2024-12-20,C,550.0,2024-11-11
ALUC700.DI,0,0.0,0.0,0,150.0,149.6,0.1951999999999999,150.0,150.0,148.0,125.497,89800.0,6,4,15:40:00,ALUA,2024-12-20,C,700.0,2024-11-11
ALUC800.DI,0,0.0,0.0,0,64.18,64.18,-0.5573,62.0,64.18,61.05,145.0,131430.0,21,5,16:50:00,ALUA,2024-12-20,C,800.0,2024-11-11
ALUC800.FE,0,0.0,0.0,0,135.0,135.0,-0.0689,135.0,135.0,135.0,145.0,67500.0,5,1,16:38:00,ALUA,2025-02-21,C,800.0,2024-11-11
ALUC850.DI,0,0.0,0.0,0,41.0,41.0,0.1278999999999999,38.0,41.0,35.2,36.35,124972.0,33,10,16:21:00,ALUA,2024-12-20,C,850.0,2024-11-11
ALUC900.AB,0,0.0,0.0,0,79.7,70.05,-0.3069,60.4,79.7,60.4,115.0,14010.0,2,2,13:01:00,ALUA,2025-04-16,C,900.0,2024-11-11
ALUC900.DI,0,0.0,92.0,25,22.0,22.0,-0.1139,21.22,24.37,19.58,24.83,209777.0,102,15,16:51:00,ALUA,2024-12-20,C,900.0,2024-11-11
ALUC900.FE,0,0.0,0.0,0,115.0,115.0,0.15,150.0,150.0,115.0,100.0,49500.0,4,4,13:45:00,ALUA,2025-02-21,C,900.0,2024-11-11
ALUC950.DI,0,0.0,70.0,15,10.04,10.03,-0.1153999999999999,12.97,12.97,10.0,11.351,76416.0,71,12,15:55:00,ALUA,2024-12-20,C,950.0,2024-11-11
ALUV800.DI,0,0.0,0.0,0,36.0,33.066,0.3392,28.43,36.79,28.43,26.88,276438.6,92,21,14:13:00,ALUA,2024-12-20,P,800.0,2024-11-11
ALUV850.DI,0,0.0,0.0,0,67.08,67.01,0.6868000000000001,65.0,67.77,65.0,39.766,67010.0,10,6,14:12:00,ALUA,2024-12-20,P,850.0,2024-11-11
ALUV900.DI,0,0.0,0.0,0,96.17,96.147,0.0805,100.4,100.4,94.17,89.0,433627.0,44,14,14:13:00,ALUA,2024-12-20,P,900.0,2024-11-11
ALUV950.DI,0,0.0,0.0,0,135.0,135.0,-0.1562,135.0,135.0,135.0,160.0,13500.0,1,1,11:07:00,ALUA,2024-12-20,P,950.0,2024-11-11
BBAV4000AB,0,0.0,0.0,0,27.0,27.0,-0.3283,27.0,27.0,27.0,40.2,5400.0,2,1,15:47:00,BBAR,2025-04-16,P,4000.0,2024-11-11
BBAV5600FE,0,0.0,0.0,0,163.6,163.6,0.0906,163.6,163.6,163.6,150.0,163600.0,10,2,12:05:00,BBAR,2025-02-21,P,5600.0,2024-11-11
BHIC400.AB,0,0.0,0.0,0,99.0,99.0,-0.0526,99.0,99.0,99.0,104.5,89100.0,9,2,12:14:00,BHIP,2025-04-16,C,400.0,2024-11-11
BHIC440.AB,0,0.0,0.0,0,43.8,43.8,0.0,43.8,43.8,43.8,0.0,4380.0,1,1,15:30:00,BHIP,2025-04-16,C,440.0,2024-11-11
BYMC260.DI,0,0.0,0.0,0,81.91,81.91,-0.1467,72.06,81.91,71.56,96.0,556902.0,77,5,16:34:00,BYMA,2024-12-20,C,260.0,2024-11-11
CECC300.FE,0,0.0,0.0,0,126.2,126.2,0.5775,126.2,126.2,126.2,80.0,12620.0,1,1,16:55:00,CECO2,2025-02-21,C,300.0,2024-11-11
CECC360.DI,0,0.0,0.0,0,36.0,36.0,0.1612,36.0,36.0,36.0,31.0,180000.0,50,1,16:45:00,CECO2,2024-12-20,C,360.0,2024-11-11
CEPC1400DI,0,0.0,0.0,0,50.0,50.0,-0.6666,50.0,50.0,50.0,150.0,5000.0,1,1,14:48:00,CEPU,2024-12-20,C,1400.0,2024-11-11
COMC172.DI,0,0.0,125.0,5,97.2,97.2,0.0138,96.19,97.2,96.19,95.87,57815.0,6,6,16:32:00,COME,2024-12-20,C,172.0,2024-11-11
COMC172.FE,0,0.0,0.0,0,120.0,120.0,-0.0793,120.0,120.0,120.0,130.342,36000.0,3,3,15:07:00,COME,2025-02-21,C,172.0,2024-11-11
COMC180.DI,0,0.0,0.0,0,84.22,84.22,-0.023,84.22,84.22,84.22,86.21,8422.0,1,1,15:50:00,COME,2024-12-20,C,180.0,2024-11-11
COMC188.DI,0,0.0,0.0,0,79.78,80.283,-0.0327999999999999,80.28,81.79,79.78,82.49,481690.0,60,3,11:47:00,COME,2024-12-20,C,188.0,2024-11-11
COMC196.DI,0,0.0,0.0,0,73.0,73.0,-0.0549,73.0,73.0,73.0,77.247,36500.0,5,1,15:38:00,COME,2024-12-20,C,196.0,2024-11-11
COMC205.DI,0,0.0,0.0,0,65.0,65.0,-0.1772,65.156,66.5,65.0,79.0,270568.4,41,11,15:36:00,COME,2024-12-20,C,205.0,2024-11-11
COMC210.DI,0,0.0,0.0,0,58.0,58.161,-0.0254,59.68,61.45,58.0,59.512,2456918.3,416,32,16:28:00,COME,2024-12-20,C,210.0,2024-11-11
